event_id,student_id,event_date,event_type,severity,course_id,related_submission_id,event_value,description_code,resolved
38,S00294,2026-07-07 09:56:12.269967228,AI Detector Flag,High,CRS0007,SUB000062,0.8497,AI_DETECTOR_THRESHOLD,True
39,S01278,2026-07-08 23:06:14.255734926,AI Detector Flag,High,CRS0007,SUB000065,0.8989,AI_DETECTOR_THRESHOLD,True
40,S00247,2026-07-08 02:00:41.169599813,Similarity Flag,Medium,CRS0007,SUB000067,0.2686,SIMILARITY_THRESHOLD,True
41,S01238,2026-07-09 04:36:11.733716034,AI Detector Flag,,CRS0007,SUB000068,0.9185,AI_DETECTOR_THRESHOLD,True
42,S01086,2026-07-07 04:06:48.917516911,AI Detector Flag,High,CRS0007,SUB000070,0.4595,AI_DETECTOR_THRESHOLD,True
43,S01225,2026-07-07 21:16:53.633737536,AI Detector Flag,High,,SUB000071,0.7952,AI_DETECTOR_THRESHOLD,True
44,S00842,2026-07-15 20:43:28.868942541,AI Detector Flag,High,CRS0004,SUB000072,0.8419,AI_DETECTOR_THRESHOLD,True
45,S00842,2026-07-15 21:21:59.679043031,Rapid Submission,Medium,CRS0004,SUB000072,0.0,RAPID_SUBMISSION,True
46,S01163,2026-07-13 12:05:30.611312614,AI Detector Flag,High,CRS0004,SUB000074,0.2873,AI_DETECTOR_THRESHOLD,True
47,S00307,2026-07-15 11:44:07.462934326,AI Detector Flag,High,CRS0004,SUB000075,0.8327,AI_DETECTOR_THRESHOLD,True
48,S00307,2026-07-15 11:31:17.708074805,Rapid Submission,Low,CRS0004,SUB000075,0.0,RAPID_SUBMISSION,True
49,S00307,2026-07-15 12:09:17.708074805,Plagiarism Flag,Medium,CRS0004,SUB000075,0.5234,PLAGIARISM_SCREEN,True
50,S00550,2026-07-13 20:08:44.334106878,AI Detector Flag,High,CRS0004,SUB000077,0.2333,AI_DETECTOR_THRESHOLD,True
51,S01095,2026-07-11 19:41:50.439152634,AI Detector Flag, High ,CRS0004,SUB000079,0.3964,AI_DETECTOR_THRESHOLD,True
52,S00746,2026-07-10 22:20:37.521266583,AI Detector Flag,High,CRS0004,SUB000080,,AI_DETECTOR_THRESHOLD,True
53,S01473,2026-07-13 13:18:27.055543260,Similarity Flag,Medium,CRS0004,SUB000081,0.3053,SIMILARITY_THRESHOLD,True
54,S01080,2026-07-12 01:50:53.233079811,AI Detector Flag,High,CRS0004,SUB000083,0.7937,AI_DETECTOR_THRESHOLD,False
55,S01073,2026-07-12 11:52:34.481747291,Excessive Copy-Paste,High,CRS0004,SUB000084,0.1938,COPY_PASTE_ANOMALY,False
56,S00972,2026-07-13 18:59:17.902028821,Similarity Flag,High,CRS0004,SUB000085,0.2912,SIMILARITY_THRESHOLD,True
57,S01020,2026-07-13 13:08:42.013712465,Rapid Submission,Medium,CRS0004,SUB000088,14.77,RAPID_SUBMISSION,True
58,S01339,2026-07-13 12:57:26.633126331,Peer Report,High,CRS0004,SUB000089,,PEER_REPORT,False
59,S01158,2026-07-13 08:30:05.550312721,AI Detector Flag,High,CRS0004,SUB000092,0.8499,AI_DETECTOR_THRESHOLD,True
60,S01255,2027-04-08 13:07:24.306632475,AI Detector Flag,Medium,CRS0034,SUB000093,0.3196,AI_DETECTOR_THRESHOLD,True
61,S00550,2027-04-08 08:49:30.327405851,Unusual Collaboration,Medium,CRS0034,SUB000095,,COLLABORATION_PATTERN,True
62,S00913,2027-04-08 11:46:47.079247788,AI Detector Flag,High,CRS0034,SUB000096,0.7841,AI_DETECTOR_THRESHOLD,True
63,S00690,2027-04-08 14:42:35.779773180,Similarity Flag,High,,SUB000097,0.423,SIMILARITY_THRESHOLD,True
64,S00328,2027-04-08 11:23:26.361388138,AI Detector Flag,Medium,CRS0034,SUB000099,0.7349,AI_DETECTOR_THRESHOLD,True
65,S00615,2027-04-08 13:58:20.864463454, AI Detector Flag ,High,CRS0034,SUB000108,0.7855,AI_DETECTOR_THRESHOLD,True
66,S00164,2027-04-08 15:55:45.558823162,AI Detector Flag,High,CRS0034,SUB000110,0.261,,True
67,S01095,2027-04-09 01:11:04.031637619,AI Detector Flag,High,CRS0034,SUB000111,0.2161,AI_DETECTOR_THRESHOLD,False
68,S01066,2027-04-08 13:56:53.228959480,AI Detector Flag,Medium,CRS0034,SUB000112,0.8391,AI_DETECTOR_THRESHOLD,True
69,S01402,2027-04-09 15:58:29.628531668,Repeated Revision Anomaly,Low,CRS0034,SUB000113,4.0,LOW_REVISION_ACTIVITY,True
70,S00919,2027-03-03 09:19:28.264327183,Excessive Copy-Paste,Medium,CRS0073,SUB000114,0.0256,COPY_PASTE_ANOMALY,True
71,S00688,2027-03-03 19:46:18.226535425,Unusual Collaboration,Low,CRS0073,SUB000117,,COLLABORATION_PATTERN,True
72,S00478,2027-03-03 23:16:09.477305358,AI Detector Flag,High,CRS0073,SUB000120,0.8193,AI_DETECTOR_THRESHOLD,True
73,S00478,2027-03-04 00:43:37.245724301,Plagiarism Flag,Medium,CRS0073, SUB000120 ,0.3099,PLAGIARISM_SCREEN,True
74,S01436,2027-03-04 00:00:50.696428619,AI Detector Flag,High,CRS0073,SUB000121,0.8438,AI_DETECTOR_THRESHOLD,True
75,S00138,2027-03-02 10:32:23.967698217,AI Detector Flag,High,CRS0073,SUB000123,0.2781,AI_DETECTOR_THRESHOLD,True
76,S00028,2027-03-03 15:52:01.343847288,AI Detector Flag,Medium,CRS0073,SUB000124,0.8146,AI_DETECTOR_THRESHOLD,True
77,S00816,2027-03-03 20:29:23.952520466,Repeated Revision Anomaly,Low,CRS0073,SUB000125,4.0,LOW_REVISION_ACTIVITY,True
78,S00073,2027-03-03 19:29:59.125738614,Repeated Revision Anomaly,Low,CRS0073,SUB000126,5.0,LOW_REVISION_ACTIVITY,False
79,S00288,2027-03-04 13:02:07.321768987,AI Detector Flag,Medium,CRS0073,SUB000128,0.2665,AI_DETECTOR_THRESHOLD,False
80,S00546,2026-07-24 12:44:58.659592052,AI Detector Flag,Medium,CRS0084,SUB000132,0.8017,AI_DETECTOR_THRESHOLD,False
81,S00546,2026-07-24 14:09:00.387516541,Rapid Submission,Low,CRS0084,SUB000132,0.0,RAPID_SUBMISSION,True
82,S01486,2026-07-23 16:21:50.417408033,AI Detector Flag,Medium,CRS0084, SUB000136 ,0.1318,AI_DETECTOR_THRESHOLD,False
83,S01486,2026-07-23 14:06:15.691954032,Plagiarism Flag,Medium,CRS0084,SUB000136,0.3047,PLAGIARISM_SCREEN,True
84,S00660,2026-07-22 17:43:04.986907213,AI Detector Flag,High,CRS0084,SUB000137,0.3939,AI_DETECTOR_THRESHOLD,True
85,S00289,2026-07-25 14:23:18.435584656,AI Detector Flag,High,CRS0084,SUB000138,0.7461,AI_DETECTOR_THRESHOLD,True
86,S00289,2026-07-25 15:08:03.363471726,Repeated Revision Anomaly,Medium,CRS0084,SUB000138,4.0,LOW_REVISION_ACTIVITY,True
87,S00995,2026-07-23 12:08:28.027355574,SIMILARITY FLAG,High,CRS0084,SUB000139,0.4408,SIMILARITY_THRESHOLD,True
88,S01333,2026-07-04 04:25:12.953663751,AI Detector Flag,Medium,CRS0064,SUB000141,0.7904,AI_DETECTOR_THRESHOLD,True
89,S00598,2026-07-03 21:21:04.029241243,Unusual Collaboration,Medium,CRS0064,SUB000143,,COLLABORATION_PATTERN,True
90,S00699,2026-07-04 11:54:05.806793274,AI Detector Flag,High,CRS0064,SUB000145,0.4181,AI_DETECTOR_THRESHOLD,True
91,S00541,2026-07-03 14:21:41.452428542,AI Detector Flag,,CRS0064,SUB000147,0.7943,AI_DETECTOR_THRESHOLD,True
92,S00330,2026-07-06 14:00:11.294679180,Similarity Flag,Medium,CRS0064,SUB000150,0.2155,SIMILARITY_THRESHOLD,True
93,S01078,2026-07-04 01:36:53.438448933,AI Detector Flag,Medium,CRS0064,SUB000153,0.7719,AI_DETECTOR_THRESHOLD,False
94,S01078,2026-07-04 01:11:00.139952374,Excessive Copy-Paste,High,CRS0064,SUB000153,0.3224,COPY_PASTE_ANOMALY,False
95,S01056,2026-07-04 23:48:18.082745372,Unusual Collaboration,High,CRS0064,SUB000156,,COLLABORATION_PATTERN,True
96,S00673,2026-07-04 12:57:44.007511184,Repeated Revision Anomaly,Medium,CRS0064,SUB000159,1.0,LOW_REVISION_ACTIVITY,False
97,S00616,2026-07-04 14:00:30.289812649,Ai Detector Flag,Medium,CRS0064,SUB000160,0.1234,AI_DETECTOR_THRESHOLD,True
98,S00394,2026-07-04 20:53:08.621623802,Similarity Flag,Medium,CRS0064,SUB000163,0.2337,,False
99,S01308,2026-10-21 12:19:50.259779541,Excessive Copy-Paste,Medium,CRS0036,SUB000164,0.208,COPY_PASTE_ANOMALY,True
100,S00791,2026-10-23 14:48:32.684074959,AI Detector Flag,High,CRS0036,SUB000166,0.853,AI_DETECTOR_THRESHOLD,True
101,S00791,2026-10-23 15:55:47.881307512,Rapid Submission,Low,CRS0036,SUB000166,0.0,RAPID_SUBMISSION,
102,S00530,2026-10-21 11:39:47.054906557,AI Detector Flag,Medium,CRS0036,SUB000167,0.2235,AI_DETECTOR_THRESHOLD,True
103,S00569,2026-10-21 20:49:31.422260121,AI Detector Flag,High,CRS0036,SUB000173,0.8425,AI_DETECTOR_THRESHOLD,True
104,S01287,2026-10-22 11:16:52.302691803,Similarity Flag,High,CRS0036,SUB000175,0.429,SIMILARITY_THRESHOLD,True
105,S00855,2026-10-23 20:29:53.396949438,Rapid Submission,Low,CRS0036,SUB000176,0.0,RAPID_SUBMISSION,True
106,S01223,2026-10-21 15:03:16.197584256,Repeated Revision Anomaly,Medium,CRS0036,SUB000178,2.0,LOW_REVISION_ACTIVITY,True
107,S01160,2026-10-22 03:06:59.078884536,Plagiarism Flag,High,CRS0036,SUB000185,0.4832,PLAGIARISM_SCREEN,True
108,S00602,2026-10-21 04:46:52.985388478,AI Detector Flag,High,CRS0036,SUB000186,0.1957,AI_DETECTOR_THRESHOLD,True
109,S01455,2027-03-23 22:58:50.251000251,AI Detector Flag,Medium,CRS0044,SUB000187,0.2796,AI_DETECTOR_THRESHOLD,True
110,S01455,2027-03-23 21:41:41.578010602,Rapid Submission,Medium,CRS0044,SUB000187,0.0,RAPID_SUBMISSION,True
111,S00992,2027-03-22 16:34:57.820644749,AI Detector Flag,High,CRS0044, SUB000188 ,0.8689,AI_DETECTOR_THRESHOLD,True
112,S00694,2027-03-22 16:31:18.000743186,AI Detector Flag,High,CRS0044,SUB000189,0.6915,AI_DETECTOR_THRESHOLD,False
113,S00506,2027-03-24 20:06:46.804243508,AI Detector Flag,Medium,,SUB000190,0.7298,AI_DETECTOR_THRESHOLD,True
114,S00506,2027-03-24 18:57:16.053653521,Rapid Submission,Medium,CRS0044,SUB000190,0.0,RAPID_SUBMISSION,True
115,S00829,2027-03-23 19:55:07.955745524,Rapid Submission,Medium,CRS0044,SUB000191,0.0,RAPID_SUBMISSION,False
116,S00918,2027-03-24 18:38:02.955676599,Rapid Submission,Medium,,SUB000192,0.0,RAPID_SUBMISSION,False
117,S01379,2027-03-24 10:13:52.185278843,AI Detector Flag,High,CRS0044,SUB000194,0.7782,AI_DETECTOR_THRESHOLD,True
118,S01379,2027-03-24 11:12:38.531460084,Rapid Submission,Medium,CRS0044,SUB000194,0.0,RAPID_SUBMISSION,True
119,S00006,2027-03-22 23:43:26.387614106,AI Detector Flag,Medium,CRS0044,SUB000197,0.8691,,YES
120,S00006,2027-03-22 22:36:06.809327260,Similarity Flag,High,CRS0044,SUB000197,0.3659,SIMILARITY_THRESHOLD,True
121,S00045,2027-03-22 02:01:27.252861329,AI Detector Flag,High,CRS0044,SUB000198,0.8079,AI_DETECTOR_THRESHOLD,True
122,S00045,2027-03-24 14:11:37.258367611,Peer Report,High,CRS0044,SUB000198,,PEER_REPORT,True
123,S01329,2026-02-20 09:02:37.984454974,AI Detector Flag,High,CRS0011,SUB000202,0.668,AI_DETECTOR_THRESHOLD,True
124,S00659,2026-02-20 12:07:21.450606472,AI Detector Flag,High,CRS0011,SUB000203,0.7634, AI_DETECTOR_THRESHOLD ,True
125,S00659,2026-02-20 13:40:07.507019020,Similarity Flag,Medium,CRS0011,SUB000203,0.2527,SIMILARITY_THRESHOLD,True
126,S01022,2026-02-20 13:42:23.486525985,Unusual Collaboration,Low,CRS0011,SUB000205,,COLLABORATION_PATTERN,True
127,S00887,2026-02-20 09:02:10.099890813,AI Detector Flag,Medium,CRS0011,SUB000207,0.8344,AI_DETECTOR_THRESHOLD,True
128,S01425,2026-02-18 18:52:26.466381864,AI Detector Flag,High,CRS0011,SUB000208,0.2661,AI_DETECTOR_THRESHOLD,True
129,S01398,2026-02-20 05:25:03.835208869,Ai Detector Flag,High,CRS0011,SUB000209,0.7108,AI_DETECTOR_THRESHOLD,True
130,S00028,2026-02-20 07:28:37.224158877,AI Detector Flag,Medium,CRS0011, SUB000211 ,0.2655,AI_DETECTOR_THRESHOLD,True
131,S00938,2026-02-20 09:18:07.719454528,Unusual Collaboration,Medium,CRS0011,SUB000212,,COLLABORATION_PATTERN,True
132,S00082,2026-02-20 09:27:50.857684220,AI Detector Flag,High,CRS0011,SUB000214,0.2929,,True
133,S01380,2026-02-20 03:27:20.355335758,AI Detector Flag,High,CRS0011,SUB000216,0.7694,AI_DETECTOR_THRESHOLD,True
134,S01380,2026-02-20 03:08:50.119232736,Unusual Collaboration,Low,CRS0011,SUB000216,,COLLABORATION_PATTERN,True
135,S00267,2027-03-16 16:33:47.874560335,Unusual Collaboration,Low,CRS0021,SUB000218,,COLLABORATION_PATTERN,True
136,S00072,2027-03-18 11:12:12.214618321,AI Detector Flag,Medium,CRS0021,SUB000220,0.8774,AI_DETECTOR_THRESHOLD,True
137,S00072,2027-03-18 11:54:46.909036062,Plagiarism Flag,High,CRS0021,SUB000220,0.1634,PLAGIARISM_SCREEN,True
138,S00409,18/03/2027 01:51,AI Detector Flag,Medium,CRS0021,SUB000222,0.8213,AI_DETECTOR_THRESHOLD,True
139,S00586,2027-03-18 01:46:53.902003324,AI Detector Flag,Medium,CRS0021,SUB000228,0.3405,AI_DETECTOR_THRESHOLD,True
140,S01300,2027-03-20 15:02:49.833162817,Rapid Submission,Low,CRS0021, SUB000229 ,0.0,RAPID_SUBMISSION,False
141,S01290,2027-03-18 07:30:14.498600843,AI Detector Flag,High,CRS0021,SUB000230,0.7977,AI_DETECTOR_THRESHOLD,True
142,S01412,2027-03-18 07:21:50.966273281,Similarity Flag,Medium,CRS0021,SUB000232,0.2304,SIMILARITY_THRESHOLD,1
143,S01171,2027-03-18 14:33:29.400085755,AI Detector Flag,High,CRS0021,SUB000234,0.7903,AI_DETECTOR_THRESHOLD,False
144,S01171,2027-03-21 10:34:40.678363866,Peer Report,Medium,CRS0021,SUB000234,,PEER_REPORT,True
145,S00375,2027-03-19 19:13:37.702462450,AI Detector Flag,Medium,CRS0021,SUB000236,0.2975,AI_DETECTOR_THRESHOLD,True
146,S00375,2027-03-19 17:40:50.733187013,Plagiarism Flag,High,CRS0021,SUB000236,0.2341,PLAGIARISM_SCREEN,True
147,S00274,2026-04-02 11:12:32.016300203,Excessive Copy-Paste,High,CRS0042,SUB000240,0.1057,COPY_PASTE_ANOMALY,True
148,S00261,2026-04-04 17:51:03.018533859,Rapid Submission,Low,CRS0042,SUB000242,0.0,RAPID_SUBMISSION,True
149,S01075,2026-04-03 00:24:33.626805410,AI Detector Flag,Medium,CRS0042,SUB000243,0.7038,AI_DETECTOR_THRESHOLD,True
150,S01075,2026-04-02 23:29:22.406067761,Unusual Collaboration,Medium,CRS0042,SUB000243,,COLLABORATION_PATTERN,True
151,S01444,2026-04-04 13:55:54.850464214,Rapid Submission,Medium,CRS0042,SUB000244,0.0,RAPID_SUBMISSION,True
152,S00335,2026-04-03 10:17:38.828169039,Excessive Copy-Paste,Medium,CRS0042,SUB000245,0.0135,COPY_PASTE_ANOMALY,True
153,S01305,2026-03-31 20:36:25.139135625,AI Detector Flag,High,CRS0042,SUB000246,0.7812,AI_DETECTOR_THRESHOLD,True
154,S00085,2026-04-02 17:53:03.199136110,AI Detector Flag,High,CRS0042,SUB000250,0.7915,AI_DETECTOR_THRESHOLD,True
155,S01173,2026-04-03 07:31:22.247764667,Similarity Flag,High,CRS0042,SUB000252,0.2919,SIMILARITY_THRESHOLD,True
156,S01500,2026-07-08 08:23:59.489878180,Rapid Submission,Low,CRS0056,SUB000254,0.0,RAPID_SUBMISSION,False
157,S00461,2026-07-07 11:02:01.413648126,AI Detector Flag,High,CRS0056,SUB000255,0.2362,AI_DETECTOR_THRESHOLD,True
158,S00833,2026-07-08 22:58:58.294597257,AI Detector Flag,Medium,CRS0056,SUB000258,0.2664,AI_DETECTOR_THRESHOLD,True
159,S00833,2026-07-08 22:29:27.935054555,Plagiarism Flag,Medium,CRS0056,SUB000258,0.4617,PLAGIARISM_SCREEN,True
160,S00833,2026-07-10 16:29:27.935054555,Peer Report,High,CRS0056,SUB000258,,PEER_REPORT,True
161,S01350,2026-07-07 10:49:51.611901121,AI Detector Flag,High,,SUB000259,0.3252,AI_DETECTOR_THRESHOLD,True
162,S01466,2026-07-07 20:45:43.675894635, AI Detector Flag ,High,CRS0056,SUB000261,0.7937,AI_DETECTOR_THRESHOLD,True
163,S01466,2026-07-07 20:45:45.777830425,Unusual Collaboration,High,,SUB000261,,COLLABORATION_PATTERN,True
164,S00598,2026-07-07 03:09:50.448563467,AI Detector Flag,High,CRS0056,SUB000262,,AI_DETECTOR_THRESHOLD,True
165,S00598,2026-07-07 05:09:34.929772132,Unusual Collaboration,Low,CRS0056,SUB000262,,COLLABORATION_PATTERN,True
166,S00218,2026-07-07 09:06:29.663564042,AI Detector Flag,High,CRS0056,SUB000267,0.7589,AI_DETECTOR_THRESHOLD,False
167,S00218,2026/07/08 22:59:47,Peer Report,,CRS0056,SUB000267,,PEER_REPORT,True
168,S00099,2026-07-06 16:22:39.921197850,AI Detector Flag,High,CRS0056,SUB000268,0.3299,AI_DETECTOR_THRESHOLD,False
169,S00846,2026-07-09 09:29:26.212052087,AI Detector Flag,High,CRS0056,SUB000270,0.7574,AI_DETECTOR_THRESHOLD,True
170,S00846,2026-07-09 09:40:43.666963535,Rapid Submission,Medium,CRS0056,SUB000270,0.0,RAPID_SUBMISSION,True
171,S00227,2026-07-07 17:44:05.406422521,AI Detector Flag,Medium,CRS0056,SUB000271,0.7663,AI_DETECTOR_THRESHOLD,TRUE
172,S00315,2026-04-19 03:24:15.657195814,Unauthorized File Sharing,High, CRS0089 ,SUB000274,,FILE_SHARING_MONITOR,True
173,S00201,16-04-2026 16:41,AI Detector Flag,Medium, CRS0089 ,SUB000275,0.6517,AI_DETECTOR_THRESHOLD,True
174,S00671,2026-04-17 02:00:26.558090802,Similarity Flag,High,CRS0089,SUB000278,0.0059,SIMILARITY_THRESHOLD,True
175,S00254,2026-04-16 21:13:37.480561631,Repeated Revision Anomaly,Low,CRS0089,SUB000281,2.0,LOW_REVISION_ACTIVITY,True
176,S00060,04/16/2026 14:43,AI Detector Flag,High,CRS0089,SUB000282,0.8162,AI_DETECTOR_THRESHOLD,True
177,S00430,2026-04-16 05:01:39.576910152, Unusual Collaboration ,Low,CRS0089,SUB000283,,COLLABORATION_PATTERN,False
178,S01365,2026-04-17 00:06:36.728244681,AI Detector Flag,Medium,CRS0089,SUB000285,0.3789,AI_DETECTOR_THRESHOLD,True
179,S00783,2026-04-16 21:23:16.191446737,AI Detector Flag,High,CRS0089,SUB000286,0.2772,AI_DETECTOR_THRESHOLD,True
180,S00783,2026-04-16 21:44:15.262478550,Rapid Submission,Medium,CRS0089,SUB000286,15.06,RAPID_SUBMISSION,True
181,S00159,2026-04-17 03:27:55.917960782,Plagiarism Flag,High,CRS0089,SUB000287,0.2653,PLAGIARISM_SCREEN,True
182,S01266,2026-04-16 06:59:12.279480450,Repeated Revision Anomaly,Low,CRS0089,SUB000288,2.0,LOW_REVISION_ACTIVITY,True
183,S00101,2026-04-17 11:30:38.788060939,Peer Report,Medium,CRS0089,SUB000289,,,True
184,S00833,2026-04-16 05:22:57.885719326,Similarity Flag,Medium,CRS0089,SUB000290,0.2125,SIMILARITY_THRESHOLD,True
185,S00104,2026-04-16 05:32:10.635207081,Unusual Collaboration,Low,CRS0089,SUB000292,,COLLABORATION_PATTERN,True
186,S00019,2026-04-18 23:48:01.621309405,AI Detector Flag,High,CRS0089,SUB000294,0.8171,AI_DETECTOR_THRESHOLD,True
187,S00019,2026-04-19 00:33:40.656836349,Rapid Submission,Medium,CRS0089,SUB000294,0.0,RAPID_SUBMISSION,True
188,S00665,2026-04-17 05:46:53.940474099,AI Detector Flag,Medium,CRS0089,SUB000296,0.3457,AI_DETECTOR_THRESHOLD,True
189,S01037,2026-04-17 07:58:15.207148645,Unusual Collaboration,Medium,CRS0089,SUB000297,,COLLABORATION_PATTERN,False
190,S00679,2025-10-10 04:27:26.563868766,AI Detector Flag,Medium,CRS0021,SUB000298,0.2951,AI_DETECTOR_THRESHOLD,True
191,S00329,2025-10-09 23:15:14.598546246,AI Detector Flag,High,CRS0021,SUB000300,0.8053,AI_DETECTOR_THRESHOLD,True
192,S00305,2025-10-09 15:42:08.679099312,Unusual Collaboration,Medium,CRS0021,SUB000301,,COLLABORATION_PATTERN,True
193,S00305,2025-10-09 16:49:08.679099312,Plagiarism Flag,High,CRS0021,SUB000301,0.1779,PLAGIARISM_SCREEN,True
194,S01029,2025-10-09 07:27:31.371987757, AI Detector Flag ,High,CRS0021,SUB000302,0.8452,AI_DETECTOR_THRESHOLD,True
195,S00914,2025-10-09 12:11:11.816003600,AI Detector Flag,High,CRS0021,SUB000303,0.2674,AI_DETECTOR_THRESHOLD,True
196,S00050,2025-10-10 16:06:15.722264366,AI Detector Flag,Medium,CRS0021,SUB000305,0.7702,AI_DETECTOR_THRESHOLD,True
197,S01142,2026-10-25 20:12:09.053319132,AI Detector Flag,Medium,CRS0004,SUB000312,0.2563,AI_DETECTOR_THRESHOLD,True
198,S00257,2026-10-25 22:06:21.526778005,Unusual Collaboration,High,CRS0004, SUB000314 ,,COLLABORATION_PATTERN,True
199,S00387,2026-10-25 16:28:14.621638890,Similarity Flag,Medium,CRS0004,SUB000315,0.193,SIMILARITY_THRESHOLD,True
200,S01070,2026-10-28 08:46:33.974741985,AI Detector Flag,High,CRS0004,SUB000317,0.8229,AI_DETECTOR_THRESHOLD,True
201,S01070,2026-10-28 08:55:05.315676971,Rapid Submission,Medium,CRS0004,SUB000317,0.0,RAPID_SUBMISSION,True
