offering_id,course_id,term_id,instructor_id,section_code,room_code,class_size,delivery_mode
OFF00185,CRS0064,TERM003,INS0069,C,BLD-A-410,163,In-Person
OFF00186,CRS0065,TERM003,INS0069,A,BLD-B-147,110,Hybrid
OFF00187,CRS0065,TERM005,INS0093,A,BLD-C-126,157,In-Person
OFF00188,CRS0065,TERM002,INS0069,B,BLD-A-375,126,Hybrid
OFF00189,CRS0065,TERM004,INS0088,B,BLD-B-183,120,In-Person
OFF00190,CRS0066,TERM001,INS0081,B,BLD-A-119,30,Hybrid
OFF00191,CRS0066,TERM004,INS0032,A,BLD-C-304,149,In-Person
OFF00192,CRS0067,TERM003,INS0099,C,BLD-A-218,88,In-Person
OFF00193,CRS0067,TERM002,INS0062,A,BLD-B-436,127,In-Person
OFF00194,CRS0067,TERM005,INS0043,C,BLD-A-140,43,In-Person
OFF00195,CRS0068,TERM004,INS0041,D,BLD-A-108,163,Online
OFF00196,CRS0068,TERM002,INS0089,B,BLD-A-477,175,Hybrid
OFF00197,CRS0068,TERM001,INS0089,B,BLD-C-260,107,In-Person
OFF00198,CRS0068,TERM003,INS0067,A,BLD-B-241,142,In-Person
OFF00199,CRS0069,TERM001,INS0075,D,BLD-B-250,134,In-Person
OFF00200,CRS0069,TERM002,INS0087,D,BLD-C-243,148,In-Person
OFF00201,CRS0069,TERM004,INS0028,B,BLD-B-109,152,Online
OFF00202,CRS0070,TERM002,INS0013,A,BLD-B-215,172,Hybrid
OFF00203,CRS0070,TERM004,INS0003,D,BLD-A-329,119,In-Person
OFF00204,CRS0070,TERM001,INS0029,A,BLD-C-260,110,In-Person
OFF00205,CRS0071,TERM003,INS0093,A,BLD-A-388,68,In-Person
OFF00206,CRS0071,TERM005,INS0014,D,BLD-C-228,46,In-Person
OFF00207,CRS0071,TERM002,INS0093,D,BLD-C-471,170,Hybrid
OFF00208,CRS0071,TERM001,INS0046,A,BLD-B-230,130,In-Person
OFF00209,CRS0072,TERM001,INS0025,B,BLD-A-265,169,In-Person
OFF00210,CRS0072,TERM003,INS0025,A,BLD-B-454,78,Hybrid
OFF00211,CRS0072,TERM005,INS0024,D,BLD-C-356,105,Hybrid
OFF00212,CRS0073,TERM001,INS0071,C,BLD-B-463,148,In-Person
OFF00213,CRS0073,TERM005,INS0092,A,BLD-A-318,44,In-Person
OFF00214,CRS0074,TERM004,INS0094,B,BLD-C-484,56,In-Person
OFF00215,CRS0074,TERM005,INS0032,D,BLD-A-120,133,In-Person
OFF00216,CRS0075,TERM003,INS0022,D,BLD-A-484,165,In-Person
OFF00217,CRS0075,TERM001,INS0056,A,BLD-B-161,136,Hybrid
OFF00218,CRS0075,TERM005,INS0059,C,BLD-C-266,120,In-Person
OFF00219,CRS0075,TERM004,INS0079,B,BLD-A-249,158,Online
OFF00220,CRS0076,TERM001,INS0009,C,BLD-C-410,89,In-Person
OFF00221,CRS0076,TERM003,INS0051,B,BLD-B-483,59,In-Person
OFF00222,CRS0076,TERM005,INS0063,D,BLD-A-263,131,In-Person
OFF00223,CRS0077,TERM002,INS0048,A,BLD-A-260,73,In-Person
OFF00224,CRS0077,TERM003,INS0024,A,BLD-C-335,109,In-Person
OFF00225,CRS0077,TERM005,INS0048,D,BLD-C-181,42,In-Person
OFF00226,CRS0078,TERM005,INS0024,B,BLD-B-422,28,Hybrid
OFF00227,CRS0078,TERM003,INS0024,C,BLD-B-319,174,Online
OFF00228,CRS0078,TERM001,INS0025,C,BLD-C-493,128,Hybrid
OFF00229,CRS0079,TERM003,INS0042,B,BLD-A-404,64,In-Person
OFF00230,CRS0079,TERM004,INS0073,B,BLD-B-192,92,In-Person
OFF00231,CRS0079,TERM001,INS0051,B,BLD-C-401,123,In-Person
OFF00232,CRS0080,TERM001,INS0057,C,BLD-C-416,146,In-Person
OFF00233,CRS0080,TERM004,INS0057,A,BLD-A-211,48,Hybrid
OFF00234,CRS0080,TERM002,INS0066,B,BLD-A-185,146,Hybrid
OFF00235,CRS0081,TERM002,INS0050,A,BLD-A-171,155,Hybrid
OFF00236,CRS0081,TERM001,INS0059,D,BLD-C-342,108,In-Person
OFF00237,CRS0081,TERM004,INS0079,A,BLD-A-387,125,In-Person
OFF00238,CRS0082,TERM005,INS0029,D,BLD-B-260,158,In-Person
OFF00239,CRS0082,TERM003,INS0013,A,Not Recorded,67,Hybrid
OFF00240,CRS0082,TERM004,INS0089,C,BLD-C-174,136,In-Person
OFF00241,CRS0083,TERM004,INS0014,C,BLD-C-162,167,Hybrid
OFF00242,CRS0083,TERM002,INS0045,C,BLD-A-113,118,Hybrid
OFF00243,CRS0083,TERM003,INS0088,C,BLD-C-318,79,Online
OFF00244,CRS0084,TERM004,INS0087,D,BLD-B-192,27,In-Person
OFF00245,CRS0084,TERM003,INS0057,C,BLD-C-200,26,In-Person
OFF00246,CRS0085,TERM005,INS0038,A,BLD-B-230,153,Hybrid
OFF00247,CRS0085,TERM004,INS0073,C,BLD-A-432,95,Online
OFF00248,CRS0085,TERM001,INS0063,D,BLD-A-457,89,In-Person
OFF00249,CRS0086,TERM001,INS0042,A,BLD-C-342,180,Online
OFF00250,CRS0086,TERM004,INS0086,D,BLD-A-343,164,Hybrid
OFF00251,CRS0087,TERM001,INS0022,C,BLD-A-414,64,Online
OFF00252,CRS0087,TERM002,INS0059,B,BLD-A-143,132,Hybrid
OFF00253,CRS0088,TERM002,INS0079,A,BLD-B-427,40,In-Person
OFF00254,CRS0088,TERM005,INS0096,C,BLD-A-436,29,In-Person
OFF00255,CRS0089,TERM002,INS0010,C,BLD-C-187,175,Online
OFF00256,CRS0089,TERM004,INS0015,C,BLD-C-108,128,In-Person
OFF00257,CRS0089,TERM005,INS0071,A,BLD-A-199,153,In-Person
OFF00258,CRS0089,TERM003,INS0005,C,BLD-A-189,138,In-Person
OFF00259,CRS0090,TERM002,INS0060,B,BLD-C-359,129,In-Person
OFF00260,CRS0090,TERM003,INS0001,A,BLD-B-241,168,In-Person
OFF00261,CRS0090,TERM005,INS0063,C,BLD-B-391,47,In-Person
