history_id,student_id,snapshot_at,integrity_score,trust_factor_score,prior_confirmed_cases,prior_dismissed_cases,prior_suspicious_flags,prior_ai_flags,prior_plagiarism_flags,prior_sanction_points,recent_integrity_events,integrity_status
114,S00023,2026-08-24,85.69,86.56,0,0,1,1,0,0,0,High
115,S00023,2027-01-18,85.69,86.56,0,0,1,1,0,0,0,High
116,S00024,2025-08-25,84.18,83.21,0,0,0,0,0,0,0,High
117,S00024,2026-01-19,84.18,83.21,0,0,0,0,0,0,0,High
118,S00024,2026-06-08,84.18,83.21,0,0,0,0,0,0,0,High
119,S00024,2026-08-24,66.48,65.51,1,0,2,1,0,4,2,Moderate
120,S00024,2027-01-18,57.23,56.26,2,0,3,2,0,10,0,Moderate
121,S00025,2025-08-25,90.25,92.87,0,0,0,0,0,0,0,High
122,S00025,2026-01-19,90.25,92.87,0,0,0,0,0,0,0,High
123,S00025,2026-06-08,88.6,91.22,0,0,1,1,0,0,0,High
124,S00025,2026-08-24,77.2,79.82,0,1,5,3,0,0,4,High
125,S00025,2027-01-18,72.3,74.92,0,2,9,5,0,0,3,Moderate
126,S00026,2025-08-25,85.68,85.39,0,0,0,0,0,0,0,High
127,S00026,2026-01-19,85.68,85.39,0,0,0,0,0,0,0,High
128,S00026,2026-06-08,78.98,78.69,0,0,2,1,0,0,2,High
129,S00026,2026-08-24,69.98,69.69,0,0,6,3,2,0,4,Moderate
130,S00026,2027-01-18,57.23,56.94,1,0,9,5,2,1,3,Moderate
131,S00027,2025-08-25,91.05,94.07,0,0,0,0,0,0,0,High
132,S00027,2026-01-19,91.05,94.07,0,0,0,0,0,0,0,High
133,S00027,2026-06-08,87.1,90.12,0,0,3,2,0,0,0,High
134,S00027,2026-08-24,81.75,84.77,0,0,4,3,0,0,1,High
135,S00027,2027-01-18,85.45,88.47,0,0,4,3,0,0,0,High
136,S00028,2025-08-25,85.64,85.53,0,0,0,0,0,0,0,High
137,S00028,2026-01-19,76.64,76.53,0,0,4,2,0,0,2,High
138,S00028,2026-06-08,76.74,76.63,0,1,6,4,0,0,0,High
139,S00028,2026-08-24,76.74,76.63,0,1,6,4,0,0,0,High
140,S00028,2027-01-18,66.34,66.23,0,1,10,6,0,0,4,Moderate
141,S00029,2025-08-25,84.16,83.49,0,0,0,0,0,0,0,High
142,S00029,2026-01-19,69.51,68.84,1,1,1,1,0,6,0,Moderate
143,S00029,2026-06-08,63.16,62.49,1,2,2,2,0,6,1,Moderate
144,S00029,2026-08-24,66.86,66.19,1,2,2,2,0,6,0,Moderate
145,S00029,2027-01-18,61.86,61.19,1,2,4,2,0,6,1,Moderate
146,S00030,2025-08-25,84.42,83.41,0,0,0,0,0,0,0,High
147,S00030,2026-01-19,77.42,76.41,0,1,2,1,0,0,1,High
148,S00030,2026-06-08,81.12,80.11,0,1,2,1,0,0,0,High
149,S00030,2026-08-24,80.12,79.11,0,2,2,1,0,0,0,High
150,S00030,2027-01-18,80.12,79.11,0,2,2,1,0,0,0,High
151,S00031,2025-08-25,85.54,85.56,0,0,0,0,0,0,0,High
152,S00031,2026-01-19,81.19,81.21,0,0,1,0,0,0,1,High
153,S00031,2026-06-08,80.54,80.56,0,0,2,0,0,0,1,High
154,S00031,2026-08-24,84.24,84.26,0,0,2,0,0,0,0,High
155,S00031,2027-01-18,84.24,84.26,0,0,2,0,0,0,0,High
156,S00032,2025-08-25,93.82,98.21,0,0,0,0,0,0,0,High
157,S00032,2026-01-19,93.82,98.21,0,0,0,0,0,0,0,High
158,S00032,2026-06-08,93.82,98.21,0,0,0,0,0,0,0,High
159,S00032,2026-08-24,74.12,78.51,1,0,2,1,0,8,2,Moderate
160,S00032,2027-01-18,77.87,82.26,1,0,3,1,0,8,0,High
161,S00033,2025-08-25,81.82,79.67,0,0,0,0,0,0,0,High
162,S00033,2026-01-19,76.47,74.32,0,0,1,1,0,0,1,High
163,S00033,2026-06-08,70.12,67.97,0,0,4,4,0,0,3,Moderate
164,S00033,2026-08-24,64.32,62.17,0,0,8,5,1,0,4,Moderate
165,S00033,2027-01-18,68.47,66.32,0,0,9,6,1,0,0,Moderate
166,S00034,2025-08-25,86.36,86.64,0,0,0,0,0,0,0,High
167,S00034,2026-01-19,79.66,79.94,0,0,2,1,0,0,2,High
168,S00034,2026-06-08,80.76,81.04,0,1,4,2,0,0,0,High
169,S00034,2026-08-24,80.76,81.04,0,1,4,2,0,0,0,High
170,S00034,2027-01-18,72.71,72.99,0,1,7,3,0,0,3,Moderate
171,S00035,2025-08-25,79.88,76.79,0,0,0,0,0,0,0,High
172,S00035,2026-01-19,70.58,67.49,0,0,4,3,0,0,1,Moderate
173,S00035,2026-06-08,67.23,64.14,0,0,7,3,0,0,3,Moderate
174,S00035,2026-08-24,65.63,62.54,0,0,9,4,0,0,2,Moderate
175,S00035,2027-01-18,65.68,62.59,0,0,10,4,0,0,1,Moderate
176,S00036,2025-08-25,90.27,93.14,0,0,0,0,0,0,0,High
177,S00036,2026-01-19,78.42,81.29,0,0,5,2,1,0,3,High
178,S00036,2026-06-08,80.37,83.24,0,1,6,2,2,0,0,High
179,S00036,2026-08-24,68.47,71.34,0,2,10,3,3,0,4,Moderate
180,S00036,2027-01-18,69.67,72.54,0,3,14,4,3,0,0,Moderate
181,S00037,2025-08-25,81.89,80.02,0,0,0,0,0,0,0,High
182,S00037,2026-01-19,80.24,78.37,0,0,1,1,0,0,0,High
183,S00037,2026-06-08,80.24,78.37,0,0,1,1,0,0,0,High
184,S00037,2026-08-24,74.54,72.67,0,0,3,1,0,0,2,Moderate
185,S00037,2027-01-18,73.59,71.72,0,0,4,2,0,0,1,Moderate
186,S00038,2025-08-25,93.59,97.82,0,0,0,0,0,0,0,High
187,S00038,2026-01-19,93.59,97.82,0,0,0,0,0,0,0,High
188,S00038,2026-06-08,74.89,79.12,1,0,2,1,0,6,2,Moderate
189,S00038,2026-08-24,79.29,83.52,1,0,2,1,0,6,0,High
190,S00038,2027-01-18,79.29,83.52,1,0,2,1,0,6,0,High
191,S00039,2025-08-25,81.11,78.39,0,0,0,0,0,0,0,High
192,S00039,2026-01-19,76.51,73.79,0,0,4,2,0,0,0,High
193,S00039,2026-06-08,76.51,73.79,0,0,4,2,0,0,0,High
194,S00039,2026-08-24,71.16,68.44,0,0,5,3,0,0,1,Moderate
195,S00039,2027-01-18,74.86,72.14,0,0,5,3,0,0,0,Moderate
196,S00040,2025-08-25,87.12,87.85,0,0,0,0,0,0,0,High
197,S00040,2026-01-19,87.12,87.85,0,0,0,0,0,0,0,High
198,S00040,2026-06-08,81.77,82.5,0,0,1,1,0,0,1,High
199,S00040,2026-08-24,78.77,79.5,0,0,3,2,0,0,2,High
200,S00040,2027-01-18,79.22,79.95,0,0,6,4,0,0,0,High
201,S00041,2025-08-25,81.3,78.61,0,0,0,0,0,0,0,High
202,S00041,2026-01-19,81.3,78.61,0,0,0,0,0,0,0,High
203,S00041,2026-06-08,73.6,70.91,0,0,2,2,0,0,2,Moderate
204,S00041,2026-08-24,78.0,75.31,0,0,2,2,0,0,0,High
205,S00041,2027-01-18,75.7,73.01,0,0,4,3,0,0,0,High
206,S00042,2025-08-25,85.75,85.74,0,0,0,0,0,0,0,High
207,S00042,2026-01-19,75.2,75.19,0,1,3,1,1,0,3,High
208,S00042,2026-06-08,63.1,63.09,1,1,5,3,1,1,2,Moderate
209,S00042,2026-08-24,59.45,59.44,1,1,8,4,1,1,3,Moderate
210,S00042,2027-01-18,58.8,58.79,1,1,13,5,2,1,0,Moderate
211,S00043,2025-08-25,91.82,95.04,0,0,0,0,0,0,0,High
212,S00043,2026-01-19,81.42,84.64,0,0,4,2,0,0,4,High
213,S00043,2026-06-08,80.12,83.34,0,1,8,4,1,0,0,High
214,S00043,2026-08-24,68.37,71.59,0,1,13,6,1,0,5,Moderate
215,S00043,2027-01-18,74.87,78.09,0,1,13,6,1,0,0,Moderate
216,S00044,2025-08-25,90.31,92.76,0,0,0,0,0,0,0,High
217,S00044,2026-01-19,90.31,92.76,0,0,0,0,0,0,0,High
218,S00044,2026-06-08,90.31,92.76,0,0,0,0,0,0,0,High
219,S00044,2026-08-24,90.31,92.76,0,0,0,0,0,0,0,High
220,S00044,2027-01-18,82.81,85.26,0,0,2,1,1,0,1,High
221,S00045,2025-08-25,79.67,76.14,0,0,0,0,0,0,0,High
222,S00045,2026-01-19,56.22,52.69,1,1,7,4,0,1,2,Moderate
223,S00045,2026-06-08,60.62,57.09,1,1,7,4,0,1,0,Moderate
224,S00045,2026-08-24,53.92,50.39,1,1,9,5,0,1,2,Moderate
225,S00045,2027-01-18,58.32,54.79,1,1,9,5,0,1,0,Moderate
226,S00046,2025-08-25,88.76,90.23,0,0,0,0,0,0,0,High
227,S00046,2026-01-19,78.91,80.38,0,0,3,2,1,0,2,High
228,S00046,2026-06-08,80.01,81.48,0,1,5,3,1,0,0,High
229,S00046,2026-08-24,72.96,74.43,0,1,8,3,1,0,3,Moderate
230,S00046,2027-01-18,77.06,78.53,0,2,8,3,1,0,0,High
231,S00047,2025-08-25,84.04,83.26,0,0,0,0,0,0,0,High
232,S00047,2026-01-19,51.49,50.71,2,0,3,1,1,10,3,Moderate
233,S00047,2026-06-08,49.59,48.81,2,0,5,3,1,10,1,Low
234,S00047,2026-08-24,28.69,27.91,3,0,11,4,2,14,6,Low
235,S00047,2027-01-18,29.89,29.11,3,0,13,5,2,14,1,Low
236,S00048,2025-08-25,86.95,87.9,0,0,0,0,0,0,0,High
237,S00048,2026-01-19,82.0,82.95,0,0,3,3,0,0,0,High
238,S00048,2026-06-08,75.65,76.6,0,1,4,4,0,0,1,High
239,S00048,2026-08-24,79.35,80.3,0,1,4,4,0,0,0,High
240,S00048,2027-01-18,79.35,80.3,0,1,4,4,0,0,0,High
241,S00049,2025-08-25,81.41,79.06,0,0,0,0,0,0,0,High
242,S00049,2026-01-19,81.41,79.06,0,0,0,0,0,0,0,High
243,S00049,2026-06-08,58.71,56.36,1,0,4,2,0,8,3,Moderate
244,S00049,2026-08-24,63.81,61.46,1,0,4,2,0,8,0,Moderate
245,S00049,2027-01-18,58.81,56.46,1,0,6,2,0,8,1,Moderate
246,S00050,2025-08-25,92.71,96.63,0,0,0,0,0,0,0,High
247,S00050,2026-01-19,84.36,88.28,0,0,3,2,0,0,2,High
248,S00050,2026-06-08,88.76,92.68,0,0,3,2,0,0,0,High
249,S00050,2026-08-24,83.41,87.33,0,1,4,2,0,0,1,High
250,S00050,2027-01-18,85.46,89.38,0,1,5,3,0,0,0,High
251,S00051,2025-08-25,90.15,92.54,0,0,0,0,0,0,0,High
252,S00051,2026-01-19,84.05,86.44,0,0,4,2,1,0,0,High
253,S00051,2026-06-08,79.7,82.09,0,0,5,2,1,0,1,High
254,S00051,2026-08-24,83.4,85.79,0,0,5,2,1,0,0,High
255,S00051,2027-01-18,83.4,85.79,0,0,5,2,1,0,0,High
256,S00052,2025-08-25,84.64,84.29,0,0,0,0,0,0,0,High
257,S00052,2026-01-19,83.99,83.64,0,0,1,0,0,0,0,High
258,S00052,2026-06-08,78.64,78.29,0,0,2,1,0,0,1,High
259,S00052,2026-08-24,76.99,76.64,0,0,3,2,0,0,1,High
260,S00052,2027-01-18,71.49,71.14,0,1,5,3,1,0,2,Moderate
261,S00053,2025-08-25,84.35,83.64,0,0,0,0,0,0,0,High
262,S00053,2026-01-19,83.7,82.99,0,0,1,0,0,0,0,High
263,S00053,2026-06-08,81.55,80.84,0,0,2,0,1,0,0,High
264,S00053,2026-08-24,69.3,68.59,0,0,7,1,2,0,5,Moderate
265,S00053,2027-01-18,57.45,56.74,1,0,10,2,2,4,2,Moderate
266,S00054,2025-08-25,91.81,95.19,0,0,0,0,0,0,0,High
267,S00054,2026-01-19,91.81,95.19,0,0,0,0,0,0,0,High
268,S00054,2026-06-08,80.06,83.44,0,0,5,2,0,0,5,High
269,S00054,2026-08-24,86.56,89.94,0,0,5,2,0,0,0,High
270,S00054,2027-01-18,77.01,80.39,0,0,8,3,1,0,3,High
271,S00055,2025-08-25,88.12,89.82,0,0,0,0,0,0,0,High
272,S00055,2026-01-19,81.12,82.82,0,0,2,2,0,0,1,High
273,S00055,2026-06-08,83.17,84.87,0,0,3,3,0,0,0,High
274,S00055,2026-08-24,83.17,84.87,0,0,3,3,0,0,0,High
275,S00055,2027-01-18,83.17,84.87,0,0,3,3,0,0,0,High
276,S00056,2025-08-25,90.06,92.46,0,0,0,0,0,0,0,High
277,S00056,2026-01-19,86.11,88.51,0,0,3,2,0,0,0,High
278,S00056,2026-06-08,78.61,81.01,0,0,5,3,1,0,1,High
279,S00056,2026-08-24,76.61,79.01,0,0,7,3,1,0,2,High
280,S00056,2027-01-18,81.01,83.41,0,0,7,3,1,0,0,High
281,S00057,2025-08-25,80.98,78.23,0,0,0,0,0,0,0,High
282,S00057,2026-01-19,80.33,77.58,0,0,1,0,0,0,0,High
283,S00057,2026-06-08,73.98,71.23,0,1,2,1,0,0,1,Moderate
284,S00057,2026-08-24,59.98,57.23,1,1,4,2,0,4,2,Moderate
285,S00057,2027-01-18,64.38,61.63,1,1,4,2,0,4,0,Moderate
286,S00058,2025-08-25,89.08,90.79,0,0,0,0,0,0,0,High
287,S00058,2026-01-19,79.38,81.09,0,0,4,2,0,0,3,High
288,S00058,2026-06-08,68.28,69.99,1,0,6,3,0,1,2,Moderate
289,S00058,2026-08-24,65.63,67.34,1,0,9,3,0,1,3,Moderate
290,S00058,2027-01-18,66.38,68.09,1,0,10,3,0,1,1,Moderate
291,S00059,2025-08-25,80.4,77.72,0,0,0,0,0,0,0,High
292,S00059,2026-01-19,67.05,64.37,0,2,5,3,0,0,3,Moderate
293,S00059,2026-06-08,60.25,57.57,0,2,9,5,1,0,4,Moderate
294,S00059,2026-08-24,58.35,55.67,0,2,11,7,1,0,2,Moderate
295,S00059,2027-01-18,62.75,60.07,0,2,11,7,1,0,0,Moderate
296,S00060,2025-08-25,80.22,77.23,0,0,0,0,0,0,0,High
297,S00060,2026-01-19,77.92,74.93,0,0,2,1,0,0,0,High
298,S00060,2026-06-08,66.92,63.93,0,0,6,5,0,0,2,Moderate
299,S00060,2026-08-24,65.97,62.98,0,0,7,6,0,0,1,Moderate
300,S00060,2027-01-18,65.42,62.43,0,0,12,7,0,0,0,Moderate
301,S00061,2025-08-25,86.22,86.65,0,0,0,0,0,0,0,High
302,S00061,2026-01-19,79.22,79.65,0,1,2,1,0,0,1,High
303,S00061,2026-06-08,82.92,83.35,0,1,2,1,0,0,0,High
304,S00061,2026-08-24,61.67,62.1,1,1,7,3,0,1,5,Moderate
305,S00061,2027-01-18,60.92,61.35,1,2,12,6,0,1,0,Moderate
306,S00062,2025-08-25,91.63,95.18,0,0,0,0,0,0,0,High
307,S00062,2026-01-19,88.48,92.03,0,1,1,0,1,0,0,High
308,S00062,2026-06-08,87.48,91.03,0,2,1,0,1,0,0,High
309,S00062,2026-08-24,77.93,81.48,0,2,4,1,2,0,3,High
310,S00062,2027-01-18,71.18,74.73,0,3,9,2,3,0,3,Moderate
311,S00063,2025-08-25,88.78,90.4,0,0,0,0,0,0,0,High
312,S00063,2026-01-19,88.78,90.4,0,0,0,0,0,0,0,High
313,S00063,2026-06-08,78.28,79.9,0,0,4,2,1,0,2,High
314,S00063,2026-08-24,78.33,79.95,0,0,5,2,1,0,1,High
315,S00063,2027-01-18,82.03,83.65,0,0,5,2,1,0,0,High
316,S00064,2025-08-25,79.33,75.66,0,0,0,0,0,0,0,High
317,S00064,2026-01-19,77.03,73.36,0,0,2,1,0,0,0,High
318,S00064,2026-06-08,74.73,71.06,0,0,4,2,0,0,0,Moderate
319,S00064,2026-08-24,65.18,61.51,0,0,7,3,1,0,3,Moderate
320,S00064,2027-01-18,68.63,64.96,0,0,8,4,1,0,0,Moderate
321,S00065,2025-08-25,89.53,91.6,0,0,0,0,0,0,0,High
322,S00065,2026-01-19,86.23,88.3,0,1,2,1,0,0,0,High
323,S00065,2026-06-08,86.23,88.3,0,1,2,1,0,0,0,High
324,S00065,2026-08-24,86.23,88.3,0,1,2,1,0,0,0,High
325,S00065,2027-01-18,79.88,81.95,0,2,3,2,0,0,1,High
326,S00066,2025-08-25,90.49,93.42,0,0,0,0,0,0,0,High
327,S00066,2026-01-19,90.49,93.42,0,0,0,0,0,0,0,High
328,S00066,2026-06-08,81.44,84.37,0,0,3,2,0,0,3,High
329,S00066,2026-08-24,66.84,69.77,1,0,5,4,0,6,2,Moderate
330,S00066,2027-01-18,68.94,71.87,1,0,7,5,0,6,0,Moderate
331,S00067,2025-08-25,87.76,89.08,0,0,0,0,0,0,0,High
332,S00067,2026-01-19,87.76,89.08,0,0,0,0,0,0,0,High
333,S00067,2026-06-08,87.76,89.08,0,0,0,0,0,0,0,High
334,S00067,2026-08-24,87.76,89.08,0,0,0,0,0,0,0,High
335,S00067,2027-01-18,87.76,89.08,0,0,0,0,0,0,0,High
336,S00068,2025-08-25,89.92,92.17,0,0,0,0,0,0,0,High
337,S00068,2026-01-19,89.92,92.17,0,0,0,0,0,0,0,High
338,S00068,2026-06-08,60.82,63.07,2,0,4,1,1,12,0,Moderate
339,S00068,2026-08-24,54.12,56.37,2,0,6,2,1,12,2,Moderate
340,S00068,2027-01-18,40.52,42.77,3,1,8,3,1,16,1,Low
341,S00069,2025-08-25,90.44,92.87,0,0,0,0,0,0,0,High
342,S00069,2026-01-19,86.09,88.52,0,0,1,0,0,0,1,High
343,S00069,2026-06-08,89.79,92.22,0,0,1,0,0,0,0,High
344,S00069,2026-08-24,60.24,62.67,2,0,4,2,0,5,3,Moderate
345,S00069,2027-01-18,63.04,65.47,2,0,6,3,0,5,0,Moderate
346,S00070,2025-08-25,84.11,83.35,0,0,0,0,0,0,0,High
347,S00070,2026-01-19,84.11,83.35,0,0,0,0,0,0,0,High
348,S00070,2026-06-08,64.41,63.65,1,0,2,1,0,8,2,Moderate
349,S00070,2026-08-24,62.11,61.35,1,0,4,2,0,8,2,Moderate
350,S00070,2027-01-18,66.51,65.75,1,0,4,2,0,8,0,Moderate
351,S00071,2025-08-25,80.23,77.27,0,0,0,0,0,0,0,High
352,S00071,2026-01-19,74.23,71.27,0,0,2,1,0,0,1,Moderate
353,S00071,2026-06-08,77.93,74.97,0,0,2,1,0,0,0,High
354,S00071,2026-08-24,73.58,70.62,0,0,3,1,0,0,1,Moderate
355,S00071,2027-01-18,70.28,67.32,0,1,5,2,0,0,1,Moderate
356,S00072,2025-08-25,87.15,87.98,0,0,0,0,0,0,0,High
357,S00072,2026-01-19,87.15,87.98,0,0,0,0,0,0,0,High
358,S00072,2026-06-08,76.95,77.78,0,0,4,1,1,0,3,High
359,S00072,2026-08-24,76.7,77.53,0,0,5,2,1,0,1,High
360,S00072,2027-01-18,80.4,81.23,0,0,5,2,1,0,0,High
361,S00073,2025-08-25,86.57,86.86,0,0,0,0,0,0,0,High
362,S00073,2026-01-19,78.22,78.51,0,1,3,1,0,0,2,High
363,S00073,2026-06-08,75.92,76.21,0,1,5,2,0,0,2,High
