table_name,column_name,dtype,non_null_count,missing_count,missing_percentage,unique_values,duplicate_values
submissions,sentence_length_std,float64,15234,0,0.0,8066,7168
submissions,vocabulary_richness,float64,14930,304,2.0,12245,2988
submissions,lexical_diversity,float64,14929,305,2.0,11982,3251
submissions,repetition_ratio,float64,15234,0,0.0,10730,4504
submissions,paragraph_count,int64,15234,0,0.0,23,15211
submissions,grammar_error_rate,float64,15234,0,0.0,8445,6789
submissions,citation_density,float64,15234,0,0.0,7733,7501
submissions,semantic_coherence,float64,14931,303,1.99,12526,2707
submissions,perplexity_score,float64,15234,0,0.0,13450,1784
submissions,burstiness_score,float64,15234,0,0.0,13543,1691
submissions,grade,float64,15234,0,0.0,3693,11541
submissions,feedback_score,float64,14928,306,2.01,4121,11112
submissions,is_ai_generated,str,15234,0,0.0,10,15224
submissions,ai_generation_source,str,15234,0,0.0,27,15207
detector_tools,tool_id,str,6,0,0.0,5,1
detector_tools,tool_name,str,6,0,0.0,5,1
detector_tools,vendor,str,6,0,0.0,2,4
detector_tools,model_version,str,5,1,16.67,4,1
detector_tools,baseline_false_positive_rate,float64,6,0,0.0,5,1
detector_tools,baseline_false_negative_rate,float64,6,0,0.0,5,1
detector_tools,calibration_score,float64,6,0,0.0,5,1
detector_tools,active_status,bool,6,0,0.0,1,5
ai_detector_results,detector_result_id,int64,75944,0,0.0,75000,944
ai_detector_results,submission_id,str,75944,0,0.0,16099,59845
ai_detector_results,tool_id,str,75944,0,0.0,10,75934
ai_detector_results,test_timestamp,str,75944,0,0.0,75035,909
ai_detector_results,ai_probability,float64,75169,775,1.02,49205,26738
ai_detector_results,confidence_score,float64,73670,2274,2.99,35429,40514
ai_detector_results,detected_as_ai,str,75169,775,1.02,10,75933
ai_detector_results,writing_style_score,float64,73090,2854,3.76,30504,45439
ai_detector_results,detector_perplexity_score,float64,73241,2703,3.56,46372,29571
ai_detector_results,text_length,float64,73443,2501,3.29,14519,61424
ai_detector_results,processing_status,str,75944,0,0.0,16,75928
student_behavior_events,event_id,int64,10177,0,0.0,10037,140
student_behavior_events,student_id,str,10177,0,0.0,1651,8526
student_behavior_events,event_date,str,10177,0,0.0,10040,137
student_behavior_events,event_type,str,10177,0,0.0,40,10137
student_behavior_events,severity,str,9974,203,1.99,15,10161
student_behavior_events,course_id,str,9975,202,1.98,161,10015
student_behavior_events,related_submission_id,str,10177,0,0.0,7655,2522
student_behavior_events,event_value,float64,8355,1822,17.9,4390,5786
student_behavior_events,description_code,str,9975,202,1.98,18,10158
student_behavior_events,resolved,str,9974,203,1.99,10,10166
integrity_cases,case_id,str,1397,0,0.0,1375,22
integrity_cases,student_id,str,1397,0,0.0,873,524
integrity_cases,submission_id,str,1397,0,0.0,1377,20
integrity_cases,assignment_id,str,1397,0,0.0,675,722
integrity_cases,case_open_date,str,1397,0,0.0,1375,22
integrity_cases,incident_date,str,1397,0,0.0,1375,22
integrity_cases,case_type,str,1397,0,0.0,18,1379
integrity_cases,trigger_source,str,1369,28,2.0,21,1375
integrity_cases,initial_suspicion_level,str,1397,0,0.0,11,1386
integrity_cases,evidence_strength,float64,1397,0,0.0,1219,178
integrity_cases,plagiarism_flag,str,1397,0,0.0,8,1389
integrity_cases,ai_detector_flag,str,1397,0,0.0,10,1387
integrity_cases,network_flag,str,1397,0,0.0,7,1390
integrity_cases,faculty_report,str,1397,0,0.0,9,1388
integrity_cases,investigation_duration_days,float64,1269,128,9.16,38,1358
integrity_cases,student_response,str,1370,27,1.93,14,1382
integrity_cases,appealed,str,1397,0,0.0,10,1387
integrity_cases,appeal_date,str,144,1253,89.69,141,1255
integrity_cases,verdict,str,1397,0,0.0,19,1378
integrity_cases,sanction_level,str,1397,0,0.0,13,1384
integrity_cases,sanction_type,str,388,1009,72.23,8,1388
integrity_cases,sanction_points,int64,1397,0,0.0,8,1389
integrity_cases,case_closed_date,str,1269,128,9.16,1249,147
student_integrity_history,history_id,int64,7586,0,0.0,7500,86
student_integrity_history,student_id,str,7586,0,0.0,1643,5943
student_integrity_history,snapshot_at,str,7586,0,0.0,25,7561
student_integrity_history,integrity_score,float64,7471,115,1.52,3308,4277
student_integrity_history,trust_factor_score,float64,7473,113,1.49,3536,4049
student_integrity_history,prior_confirmed_cases,int64,7586,0,0.0,6,7580
student_integrity_history,prior_dismissed_cases,int64,7586,0,0.0,7,7579
student_integrity_history,prior_suspicious_flags,int64,7586,0,0.0,21,7565
student_integrity_history,prior_ai_flags,int64,7586,0,0.0,12,7574
student_integrity_history,prior_plagiarism_flags,int64,7586,0,0.0,6,7580
student_integrity_history,prior_sanction_points,int64,7586,0,0.0,18,7568
student_integrity_history,recent_integrity_events,int64,7586,0,0.0,10,7576
student_integrity_history,integrity_status,str,7473,113,1.49,14,7571
